Watch,Mode,Published maximum hours,Mode fidelity,Claim type,Checked date,Source label,Source URL,Important note
Garmin Forerunner 265,GPS Only GNSS,20,Single-system GPS,Manufacturer maximum,2026-09-08,Garmin Forerunner 265 battery modes,https://www8.garmin.com/manuals/webhelp/GUID-F41EAFB3-6CC9-42DE-9C6C-9E358DBB0671/EN-US/GUID-1BE364B2-ADAB-4A92-A444-5C13277B4A44.html,Longest listed standard GPS mode in this comparison; it is not equivalent to multi-band accuracy.
Garmin Forerunner 265,All Systems + Auto Select,16,SatIQ automatic mode selection,Manufacturer maximum,2026-09-08,Garmin Forerunner 265 battery modes,https://www8.garmin.com/manuals/webhelp/GUID-F41EAFB3-6CC9-42DE-9C6C-9E358DBB0671/EN-US/GUID-1BE364B2-ADAB-4A92-A444-5C13277B4A44.html,SatIQ switches satellite behavior automatically; it is not the same mode as GPS-only or continuous multi-band.
Garmin Forerunner 265,All Systems + Multi-Band,14,Higher-accuracy multi-band,Manufacturer maximum,2026-09-08,Garmin Forerunner 265 battery modes,https://www8.garmin.com/manuals/webhelp/GUID-F41EAFB3-6CC9-42DE-9C6C-9E358DBB0671/EN-US/GUID-1BE364B2-ADAB-4A92-A444-5C13277B4A44.html,Higher satellite fidelity trades away runtime.
Garmin Forerunner 965,GPS Only GNSS,31,Single-system GPS,Manufacturer maximum,2026-09-08,Garmin Forerunner 965 battery modes,https://www8.garmin.com/manuals/webhelp/GUID-0221611A-992D-495E-8DED-1DD448F7A066/EN-US/GUID-1C7A8FCE-5C49-4938-BF3B-6ABF9585E3BD.html,"Longest listed standard GPS mode here; navigation, music, display use, and conditions can shorten runtime."
Garmin Forerunner 965,All Systems + Auto Select,22,SatIQ automatic mode selection,Manufacturer maximum,2026-09-08,Garmin Forerunner 965 battery modes,https://www8.garmin.com/manuals/webhelp/GUID-0221611A-992D-495E-8DED-1DD448F7A066/EN-US/GUID-1C7A8FCE-5C49-4938-BF3B-6ABF9585E3BD.html,SatIQ balances satellite accuracy and battery automatically; behavior differs from a fixed mode.
Garmin Forerunner 965,All Systems + Multi-Band,19,Higher-accuracy multi-band,Manufacturer maximum,2026-09-08,Garmin Forerunner 965 battery modes,https://www8.garmin.com/manuals/webhelp/GUID-0221611A-992D-495E-8DED-1DD448F7A066/EN-US/GUID-1C7A8FCE-5C49-4938-BF3B-6ABF9585E3BD.html,Higher satellite fidelity trades away runtime.
COROS PACE 3,Standard Full GPS,38,Standard GPS,Manufacturer maximum,2026-09-08,COROS PACE 3 battery specifications,https://support.coros.com/hc/en-us/articles/23476623096980-Battery-Specifications,"COROS lists a separate, shorter dual-frequency mode; do not treat the two modes as equivalent."
COROS PACE 3,All Systems On,25,Multiple satellite systems,Manufacturer maximum,2026-09-08,COROS PACE 3 battery specifications,https://support.coros.com/hc/en-us/articles/23476623096980-Battery-Specifications,This multi-constellation mode sits between standard GPS and dual-frequency runtime.
COROS PACE 3,Dual Frequency,15,Higher-accuracy dual-frequency,Manufacturer maximum,2026-09-08,COROS PACE 3 battery specifications,https://support.coros.com/hc/en-us/articles/23476623096980-Battery-Specifications,Higher satellite fidelity trades away runtime.
Polar Vantage V3,Performance Training,43,"Dual-frequency GPS, optical heart rate, 1-second recording",Manufacturer maximum,2026-09-08,Polar Vantage V3 battery lifetime,https://support.polar.com/us-en/battery-lifetime-and-operational-time-vantage-v3,Polar's performance-mode estimate includes dual-frequency GPS and optical heart rate under its stated configuration.
Polar Vantage V3,Eco Training,140,"Reduced logging: single-frequency GPS, optical heart rate off, 2-minute recording",Manufacturer maximum,2026-09-08,Polar Vantage V3 battery lifetime,https://support.polar.com/us-en/battery-lifetime-and-operational-time-vantage-v3,This reduced-recording eco mode is not directly comparable with 1-second performance modes.
