Article,Product,Issue,CurrentURLSource,Retailer,CurrentURL
Best Commuter Backpacks for Men,Aer City Pack Pro,Non-Amazon link (aersf.com),affiliate-overrides.json,aersf.com,https://aersf.com/products/city-pack-pro-2?country=US
Best Commuter Backpacks for Men,Evergoods Civic Panel Loader 24L,Non-Amazon link (evergoods.us),affiliate-overrides.json,evergoods.us,https://evergoods.us/products/civic-panel-loader?srsltid=AfmBOoo5tdybS5RZ1KXM3IXLcHGxjbUKgvmDpK46Fwi52fR0ACZaFYf3
Best Daily Trainers for Marathon Training,ASICS Novablast 5,"Amazon search URL, needs exact product affiliate URL",affiliate-overrides.json,amazon.com,https://www.amazon.com/s?k=ASICS+Novablast+5&crid=23BFZ0U71GFE1&sprefix=asics+novablast+5%2Caps%2C185&linkCode=ll2&tag=phavai7311-20&linkId=078c46767845c29dcd6301a07a895285&language=en_US&ref_=as_li_ss_tl
Best Daily Trainers for Marathon Training,HOKA Clifton 10,"Amazon search URL, needs exact product affiliate URL",affiliate-overrides.json,amazon.com,https://www.amazon.com/s?k=HOKA+Clifton+10&crid=H91E2T0K6S1O&sprefix=hoka+clifton+10%2Caps%2C211&linkCode=ll2&tag=phavai7311-20&linkId=c8e32a43ac4aa99cce8b926aee164d0b&language=en_US&ref_=as_li_ss_tl
Best Daily Trainers for Marathon Training,New Balance Fresh Foam X 1080v14,"Amazon search URL, needs exact product affiliate URL",affiliate-overrides.json,amazon.com,https://www.amazon.com/s?k=New+Balance+Fresh+Foam+X+1080v14&crid=1NX33JO4KPUXG&sprefix=new+balance+fresh+foam+x+1080v14%2Caps%2C197&linkCode=ll2&tag=phavai7311-20&linkId=21bbc89601771f47929d453ae290b9be&language=en_US&ref_=as_li_ss_tl
Best Daily Trainers for Marathon Training,Saucony Ride 18,"Amazon search URL, needs exact product affiliate URL",affiliate-overrides.json,amazon.com,https://www.amazon.com/s?k=Saucony+Ride+18&crid=2OEK490W8TSZ3&sprefix=saucony+ride+18%2Caps%2C162&linkCode=ll2&tag=phavai7311-20&linkId=a077c14c1a9383ed16a42817b2c59de9&language=en_US&ref_=as_li_ss_tl
Best Desk Mats,Grovemade Wool Felt Desk Pad,Non-Amazon link (grovemade.com),affiliate-overrides.json,grovemade.com,https://grovemade.com/product/wool-felt-desk-pad/?initial=475
Best Ergonomic Keyboards,ZSA Voyager,Non-Amazon link (zsa.io),affiliate-overrides.json,zsa.io,https://www.zsa.io/voyager
Best Marathon Shoes for Heavy Runners,ASICS Gel-Nimbus 27,"Amazon search URL, needs exact product affiliate URL",affiliate-overrides.json,amazon.com,https://www.amazon.com/s?k=ASICS+Gel-Nimbus+27&crid=2DMCOCOQNJV34&sprefix=asics+gel-nimbus+27%2Caps%2C183&linkCode=ll2&tag=phavai7311-20&linkId=6c5e39b5d5afb89518fd5410c418a038&language=en_US&ref_=as_li_ss_tl
Best Marathon Shoes for Heavy Runners,Brooks Glycerin 22,"Amazon search URL, needs exact product affiliate URL",affiliate-overrides.json,amazon.com,https://www.amazon.com/s?k=Brooks+Glycerin+22&crid=2D0JQU20OQNBF&sprefix=brooks+glycerin+22%2Caps%2C190&linkCode=ll2&tag=phavai7311-20&linkId=c182160b0bc44f3372f981655b4f9f1d&language=en_US&ref_=as_li_ss_tl
Best Marathon Shoes for Heavy Runners,HOKA Bondi 9,"Amazon search URL, needs exact product affiliate URL",affiliate-overrides.json,amazon.com,https://www.amazon.com/s?k=HOKA+Bondi+9&crid=AW3UL9R4D5X&sprefix=hoka+bondi+9%2Caps%2C192&linkCode=ll2&tag=phavai7311-20&linkId=476d8987015625bd3b052d95e3dc47b0&language=en_US&ref_=as_li_ss_tl
Best Marathon Shoes for Heavy Runners,New Balance Fresh Foam X 1080v14,"Amazon search URL, needs exact product affiliate URL",affiliate-overrides.json,amazon.com,https://www.amazon.com/s?k=New+Balance+Fresh+Foam+X+1080v14&crid=1NX33JO4KPUXG&sprefix=new+balance+fresh+foam+x+1080v14%2Caps%2C197&linkCode=ll2&tag=phavai7311-20&linkId=21bbc89601771f47929d453ae290b9be&language=en_US&ref_=as_li_ss_tl
